"Nombre d'incendies suivant les critères de sélection : 21141"
"Critères de sélection =>";"Date de première alerte, de : 2025-01-01 00:00:00";"Date de première alerte, jusqu'à : 2025-12-31 23:59:00";"France entière"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2025;29;"2B";"2B042";"Borgo";"2025-01-10 09:59:00";100;0;0;100;0;0;;;;;"Estimées";;;"Non";;;;""
2025;22426;"974";"97416";"Saint-Pierre";"2025-01-10 10:36:00";300;0;;300;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;41;"34";"34065";"Cazedarnes";"2025-01-10 11:22:00";79;79;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;22427;"974";"97411";"Saint-Denis";"2025-01-10 12:46:00";150;0;;150;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22428;"974";"97409";"Saint-André";"2025-01-10 13:04:00";2000;0;;2000;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;7519;"11";"11042";"Blomac";"2025-01-10 13:50:00";500;0;0;;0;500;;;;;"Mesurées";;;"Non";0;0;0;""
2025;7520;"11";"11172";"Homps";"2025-01-10 15:04:00";100;0;0;;0;100;;;;;"Mesurées";;;"Non";0;0;0;""
2025;40;"34";"34189";"Olonzac";"2025-01-10 15:11:00";1000;0;0;1000;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;7521;"11";"11301";"Puichéric";"2025-01-10 16:35:00";100;0;0;;0;100;;;;;"Mesurées";;;"Non";0;0;0;""
2025;39;"34";"34129";"Lattes";"2025-01-10 18:01:00";100;0;0;100;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;38;"34";"34103";"Fontès";"2025-01-10 19:32:00";80;0;0;80;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;268;"57";"57443";"Marange-Silvange";"2025-01-10 20:24:12";20;0;;20;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";0;0;0;""
2025;22399;"974";"97412";"Saint-Joseph";"2025-01-10 21:25:00";4000;0;;4000;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;37;"34";"34301";"Sète";"2025-01-10 21:48:00";98;98;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;129;"66";"66210";"Thuir";"2025-01-11 12:16:00";5;0;0;0;0;5;;;;;"Estimées";;;"Non";;;;""
2025;13171;"25";"25127";"Charquemont";"2025-01-11 13:06:32";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;36;"34";"34059";"La Caunette";"2025-01-11 14:36:00";42;42;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;7522;"11";"11353";"Saint-Marcel-sur-Aude";"2025-01-11 16:31:00";500;0;0;;0;500;;;;;"Mesurées";;;"Non";0;0;0;""
2025;35;"34";"34209";"Portiragnes";"2025-01-11 16:53:00";30;0;0;30;0;0;;;;;"Estimées";;;"Non";;;;""
2025;7523;"11";"11425";"Villegailhenc";"2025-01-11 16:59:00";3;0;0;;0;3;;;;;"Mesurées";;;"Non";0;0;0;""
2025;130;"66";"66136";"Perpignan";"2025-01-11 17:20:00";2;0;0;0;0;2;;;;;"Estimées";;;"Non";;;;""
2025;34;"34";"34281";"Saint-Pargoire";"2025-01-11 17:51:00";2000;0;0;2000;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;13170;"25";"25056";"Besançon";"2025-01-11 17:56:12";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;15848;"33";"33042";"Belin-Béliet";"2025-01-11 18:13:00";9;0;;0;9;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;131;"66";"66145";"Ponteilla";"2025-01-11 19:39:00";10;0;0;0;10;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;10842;"68";"68321";"Staffelfelden";"2025-01-11 20:00:00";1;0;;1;0;0;;;;;"Estimées";;;"Non";;;;""
2025;360;"51";"51454";"Reims";"2025-01-11 23:02:00";10;0;;10;0;0;;;;;"Estimées";;;"Non";;;;""
2025;132;"66";"66114";"Montescot";"2025-01-12 03:45:00";10;0;0;0;0;10;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;22409;"974";"97422";"Le Tampon";"2025-01-12 06:44:00";200;0;;0;200;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;13961;"84";"84007";"Avignon";"2025-01-12 11:37:00";50;0;0;0;0;50;;;;;"Estimées";;;"Non";;;;""
2025;8962;"83";"83091";"Pierrefeu-du-Var";"2025-01-12 12:22:00";50;50;0;0;0;0;;;;;"Estimées";"5";;"Non";;;;""
2025;22134;"14";"14332";"La Hoguette";"2025-01-12 12:24:00";20;0;;0;20;0;;;;;"Estimées";;;"Non";;;;""
